source_id,source_file,source_sheet,source_row_number,source_cell,source_marker_cell,source_country_label,geography,geography_code,metric,unit,year,raw_value,display_value,value,availability_status,raw_marker,footnote_ids,is_estimated,is_revised,data_status
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,16,C16,D16,"Thailande, 5",Thailand,THA,mine_production,metric_tons_reo_equivalent,2018,1000,"1,000",1000,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,16,E16,F16,"Thailande, 5",Thailand,THA,mine_production,metric_tons_reo_equivalent,2019,1900,"1,900",1900,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,16,G16,H16,"Thailande, 5",Thailand,THA,mine_production,metric_tons_reo_equivalent,2020,3600,"3,600",3600,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,16,I16,J16,"Thailande, 5",Thailand,THA,mine_production,metric_tons_reo_equivalent,2021,8200,"8,200",8200,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,16,K16,L16,"Thailande, 5",Thailand,THA,mine_production,metric_tons_reo_equivalent,2022,7100,"7,100",7100,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,17,C17,D17,United States,United States,USA,mine_production,metric_tons_reo_equivalent,2018,14000,"14,000",14000,available,e,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,17,E17,F17,United States,United States,USA,mine_production,metric_tons_reo_equivalent,2019,28000,"28,000",28000,available,e,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,17,G17,H17,United States,United States,USA,mine_production,metric_tons_reo_equivalent,2020,39000,"39,000",39000,available,e,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,17,I17,J17,United States,United States,USA,mine_production,metric_tons_reo_equivalent,2021,42400,"42,400",42400,available,6,6,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,17,K17,L17,United States,United States,USA,mine_production,metric_tons_reo_equivalent,2022,42500,"42,500",42500,available,6,6,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,18,C18,D18,"Vietname, 5",Vietnam,VNM,mine_production,metric_tons_reo_equivalent,2018,920,920,920,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,18,E18,F18,"Vietname, 5",Vietnam,VNM,mine_production,metric_tons_reo_equivalent,2019,1300,"1,300",1300,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,18,G18,H18,"Vietname, 5",Vietnam,VNM,mine_production,metric_tons_reo_equivalent,2020,690,690,690,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,18,I18,J18,"Vietname, 5",Vietnam,VNM,mine_production,metric_tons_reo_equivalent,2021,440,440,440,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,18,K18,L18,"Vietname, 5",Vietnam,VNM,mine_production,metric_tons_reo_equivalent,2022,1200,"1,200",1200,available,,5,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,19,C19,D19,Total,World total,WLD,mine_production,metric_tons_reo_equivalent,2018,190000,"190,000",190000,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,19,E19,F19,Total,World total,WLD,mine_production,metric_tons_reo_equivalent,2019,223000,"223,000",223000,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,19,G19,H19,Total,World total,WLD,mine_production,metric_tons_reo_equivalent,2020,250000,"250,000",250000,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,19,I19,J19,Total,World total,WLD,mine_production,metric_tons_reo_equivalent,2021,290000,"290,000",290000,available,r,,False,True,revised
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,19,K19,L19,Total,World total,WLD,mine_production,metric_tons_reo_equivalent,2022,297000,"297,000",297000,available,,,False,False,reported
